X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.165618622761841,39.934169382030667,209,126513160,7575,3306,Christopher Columbus Charter School,Christopher Columbus CS,1242-46 S 13TH ST,19147,215-389-6000,Open,Middle School,5-8,794,Charter,Charter
-75.160736350874146,39.961125559618964,210,126513230,7582,3321,"Mathematics, Civics and Sciences Charter School","Math, Civics & Sci CS",447 N Broad St,19123,215-923-4880,Open,Elem/Mid/High,1-12,968,Charter,Charter
-75.158632805866134,39.972897000010953,211,126512870,7513,3304,YouthBuild Charter School,YouthBuild CS,"1231 N. Broad Street, 3rd Floor",19122,215-627-8671,Open,High School,12,258,Charter,Charter
-75.165792515828755,39.943865343232829,212,126512860,7512,3303,World Communications Charter School ,World Communications CS,512 S. Broad Street,19146,215-735-3198,Open,Middle/High,6-12,626,Charter,Charter
-75.161377030165767,39.978688461376954,213,,,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th Street,19121,215-232-4892,Open,Elementary School,4-8,,Charter,Charter
-75.106621773650303,40.004597709900416,214,126512840,7510,3301,Community Academy of Philadelphia Charter School,Community Acad of Phila CS,1100 E. Erie Avenue,19124,215-533-6700,Open,Elem/Mid/High,K-12,1219,Charter,Charter
-75.225957686612048,39.941880759854719,215,126513290,7588,3323,"Mastery Charter School, Hardy Williams Elementary",Hardy Williams CS,1712 S. 56th Street,19143,215-724-2343,Open,Elem/Middle/High,K-12,820,Charter,Charter
-75.144938305284157,40.033322200363727,216,126513470,7671,3342,Delaware Valley Charter High School,Delaware Valley CHS,5201 Old York Rd,19141,215-455-2550,Open,High School,9-12,680,Charter,Charter
-75.168543566078526,40.005809000354347,217,,,3347,KIPP Philadelphia Elementary Academy (Annex),KIPP Philadelphia Elem Acad,2409 W Westmoreland St,19129,267-687-7283,Open,Elementary School,K-1,225,Charter,Charter
-75.175508909894972,39.993912970817938,218,,,3353,"KIPP DuBois Collegiate (Annex)
KIPP DuBois Collegiate Academy","KIPP DuBois Collegiate Acad
KIPP DuBois Colle*",2601 W Cumberland St,19107,267-687-4297,Open,High School,9-12,270,Charter,Charter
-75.017745788649904,40.02960794929897,219,326510558,,8540,Philadelphia Prison Pennypack House,Pennypack House,7901 State Rd.,19136,215-685-7750,Open,Remedial Discipline,9-12,41,District,District
-75.175860000241954,39.95576144075995,220,126515001,7906,2650,Science Leadership Academy (Franklin Institute),Science Leadership Acad (Franklin Ins),2130 Arch Street,19103,979-5620,Open,High School,9-12,497,District,District
-75.215861965970234,39.961641942805166,221,326518966,,2530,Youth Study Center,Youth Study Ctr,91 N 48th Street,19139,(215) 471-2275,Open,Remedial Discipline,Ungraded,,District,District
